,Married,Number_of_Dependents,Tenure_in_Months,Phone_Service,Multipl_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Customer_Status
1730,Yes,0,25,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1731,No,0,9,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,Stayed
1733,No,0,9,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1734,Yes,0,65,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
1735,No,0,29,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,Stayed
1736,No,0,12,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1737,Yes,1,55,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
1738,No,0,11,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1740,No,0,34,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1741,Yes,1,36,Yes,No,Yes,Cable,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,Stayed
1743,No,0,10,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1744,Yes,0,43,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1746,Yes,3,4,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1748,No,0,17,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1749,Yes,1,6,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1750,No,0,2,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1751,Yes,0,1,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1752,No,0,64,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Churned
1754,Yes,2,46,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,One Year,No,Credit Card,Stayed
1755,Yes,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1756,Yes,3,72,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1758,No,0,32,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
1761,No,0,2,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1762,No,0,17,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Credit Card,Stayed
1765,No,0,41,Yes,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,Stayed
1766,No,0,63,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Churned
1768,No,0,47,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
1769,No,0,65,Yes,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
1770,No,0,8,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
1771,No,0,10,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1772,No,0,9,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1773,No,0,35,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
1774,No,0,2,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1778,Yes,0,67,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1779,Yes,0,15,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
1780,No,1,10,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1781,No,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-Month,No,Bank Withdrawal,Churned
1784,No,0,11,Yes,Yes,Yes,Cable,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,Stayed
1785,No,0,50,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1787,Yes,1,64,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
1788,No,1,71,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,Stayed
1792,Yes,2,63,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,Stayed
1793,Yes,0,71,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
1794,Yes,0,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
1796,No,0,42,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1797,No,0,24,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
1800,Yes,0,56,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
1801,Yes,0,52,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
1804,No,0,32,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1805,No,0,16,Yes,No,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1806,Yes,3,23,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1809,No,0,5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
1814,No,0,18,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1815,Yes,1,72,Yes,Yes,Yes,Cable,Yes,No,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1816,Yes,2,37,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1818,Yes,0,45,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
1819,No,0,19,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1821,Yes,1,61,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
1822,No,0,4,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1823,No,0,38,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
1824,No,0,1,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,Churned
1826,No,0,71,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Churned
1827,Yes,0,52,Yes,No,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1829,Yes,0,24,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1830,No,0,43,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1831,No,0,2,Yes,No,Yes,Cable,No,No,No,No,Yes,No,Month-to-Month,No,Bank Withdrawal,Churned
1832,No,0,24,Yes,No,Yes,Cable,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Stayed
1833,Yes,0,41,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1834,Yes,0,14,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1835,Yes,0,64,Yes,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
1837,No,0,27,Yes,No,Yes,Cable,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Stayed
1838,No,0,35,Yes,No,Yes,DSL,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
1839,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1840,No,0,43,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,Churned
1841,Yes,0,53,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,Stayed
1842,No,0,17,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,One Year,Yes,Mailed Check,Churned
1843,No,0,20,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned
1845,No,0,61,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
1846,No,0,4,Yes,Yes,Yes,Cable,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1847,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1848,Yes,2,68,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
1849,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1850,No,0,2,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Churned
1851,No,0,45,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
1852,Yes,0,40,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1853,No,0,34,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1854,No,0,13,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1858,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Credit Card,Stayed
1860,Yes,0,69,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1861,No,0,57,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,Stayed
1862,Yes,0,35,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
1863,Yes,3,69,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
1864,Yes,0,63,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Churned
1865,No,3,41,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
1867,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Churned
1868,No,0,59,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
1871,Yes,0,40,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
1873,Yes,1,68,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Stayed
1875,Yes,0,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1879,No,0,37,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
1881,No,3,18,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1882,No,0,19,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1883,No,0,4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1884,Yes,0,38,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1886,Yes,0,56,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed
1887,No,0,30,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,Stayed
1888,Yes,2,72,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
1890,Yes,1,53,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1891,Yes,0,46,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed
1893,Yes,0,8,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1894,Yes,0,56,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Churned
1895,No,0,31,Yes,Yes,Yes,Cable,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,Churned
1896,No,0,13,Yes,No,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1897,Yes,3,40,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
1898,Yes,0,59,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,One Year,Yes,Bank Withdrawal,Stayed
1899,Yes,3,50,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
1901,No,0,46,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,Stayed
1902,No,3,18,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed
1904,No,2,1,Yes,No,Yes,Cable,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Churned
1905,No,0,4,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card,Churned
1906,No,0,5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1907,Yes,0,69,Yes,Yes,Yes,Cable,Yes,No,No,No,No,No,Two Year,Yes,Credit Card,Stayed
1908,Yes,0,17,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1910,Yes,0,24,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1911,No,0,62,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
1912,No,0,12,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1915,No,0,9,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,Stayed
1916,Yes,0,4,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1917,No,0,24,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1919,No,0,2,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1920,No,0,10,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1921,No,0,67,Yes,No,Yes,DSL,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,Stayed
1922,Yes,3,7,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,Stayed
1923,No,0,13,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
1924,No,0,57,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
1925,Yes,0,36,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1926,No,0,66,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
1927,No,0,22,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1928,Yes,0,17,Yes,Yes,Yes,Cable,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1929,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
1930,Yes,0,11,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1931,Yes,0,2,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1932,No,0,4,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1934,Yes,3,72,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
1935,No,0,23,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1936,Yes,3,40,Yes,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1937,No,0,70,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed
1938,Yes,0,70,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1939,No,0,69,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Stayed
1940,No,0,6,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1941,No,0,72,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
1942,Yes,0,67,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed
1943,Yes,0,40,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,Churned
1946,No,0,21,Yes,No,Yes,DSL,Yes,Yes,Yes,No,No,No,Two Year,No,Credit Card,Stayed
1947,Yes,0,32,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1948,Yes,1,29,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1949,No,0,29,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1950,Yes,0,25,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Stayed
1951,No,0,55,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1952,Yes,0,55,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed
1953,No,0,2,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1954,No,0,62,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Churned
1957,Yes,0,29,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1959,No,0,12,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned
1960,No,2,50,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,Stayed
1961,Yes,1,67,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1962,Yes,0,33,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Churned
1963,Yes,2,37,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed
1965,No,0,1,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1966,No,0,8,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1967,No,0,9,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,Churned
1969,No,0,38,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1971,No,0,10,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1972,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Churned
1973,Yes,0,3,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned
1974,Yes,2,56,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,Stayed
1976,No,0,53,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed
1977,No,0,63,Yes,No,Yes,DSL,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,Stayed
1978,No,0,35,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two Year,No,Credit Card,Stayed
1979,Yes,0,41,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Churned
1981,Yes,3,14,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Stayed
1983,Yes,3,51,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
1984,No,0,1,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1985,No,0,1,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Churned
1986,Yes,0,68,Yes,No,Yes,Cable,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,Stayed
1987,No,0,1,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned
1988,No,0,60,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1989,No,0,7,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Churned
1991,Yes,0,72,Yes,Yes,Yes,Cable,Yes,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,Stayed
1992,No,0,5,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned
1997,Yes,2,23,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed
1998,Yes,0,72,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,Stayed
1999,No,0,1,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Churned
2000,No,0,66,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
2002,No,0,11,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
2003,No,0,61,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,Churned
2005,Yes,0,67,Yes,Yes,Yes,Cable,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,Churned
2006,No,0,18,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Stayed
2007,Yes,0,18,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed
2008,No,0,12,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Churned
